Architecture,State,StateName,ConvertedUnit,OriginalUnit,R2,MAE,RMSE
tiny,0,IqRefLift,A,A,0.9491829350590706,0.8825986385345459,1.8528634309768677
tiny,1,IqRefTilt,A,A,0.9622267819941044,0.8408195376396179,1.5448589324951172
tiny,2,UdRefLift,V,V,0.9376599788665771,1.6198413372039795,2.2125468254089355
tiny,3,UqRefLift,V,V,0.8309353888034821,4.115973949432373,8.96816635131836
tiny,4,UdRefTilt,V,V,0.9609856382012367,0.9780250191688538,1.355143427848816
tiny,5,UqRefTilt,V,V,0.8731196522712708,3.7349987030029297,7.969984531402588
tiny,6,IdLift,A,A,0.9412653520703316,0.0010167399886995554,0.003865838749334216
tiny,7,IqLift,A,A,0.9616194739937782,0.8580858111381531,1.5758897066116333
tiny,8,IdTilt,A,A,0.9332771450281143,0.0014030025340616703,0.006418838165700436
tiny,9,IqTilt,A,A,0.9658231176435947,0.8285410404205322,1.4350855350494385
tiny,10,PsidLift,Wb,Wb,0.9412653930485249,3.92462061427068e-06,1.4922127775207628e-05
tiny,11,PsiqLift,Wb,Wb,0.9616194814443588,0.0028402642346918583,0.005216194316744804
tiny,12,PsidTilt,Wb,Wb,0.9332770854234695,5.415592568169814e-06,2.4776729333098046e-05
tiny,13,PsiqTilt,Wb,Wb,0.965823121368885,0.0027424716390669346,0.004750133492052555
tiny,14,VoilLift,m^3/s,m^3/s,0.9525732956826687,8.598150884608913e-07,1.840900495153619e-06
tiny,15,VoilTilt,m^3/s,m^3/s,0.6675531268119812,0.00011481476394692436,0.000148204795550555
tiny,16,PaccLift,bar,Pa,0.9303204193711281,4527.6533203125,10003.1240234375
tiny,17,PaccTilt,bar,Pa,0.6791899800300598,29766.5625,41404.140625
tiny,18,PSALift,bar,Pa,0.9584442004561424,328416.75,555194.9375
tiny,19,PSBLift,bar,Pa,0.9855213183909655,36293.28125,132430.34375
tiny,20,PSATilt,bar,Pa,0.9671002142131329,39181.515625,101443.4453125
tiny,21,PSBTilt,bar,Pa,0.9694727454334497,322287.46875,504649.71875
tiny,22,xDotALift,m/s,m/s,0.9750202596187592,3.48381363437511e-05,0.00011238012666581199
tiny,23,xDotBLift,m/s,m/s,0.9681765250861645,3.4659791708691046e-05,0.00012592428538482636
tiny,24,xDotATilt,m/s,m/s,0.9491717480123043,6.371564813889563e-05,0.0002688975364435464
